ejercicio_presupuestario,ingreso,gasto,PIB,ultima_actualizacion_fecha
2020,"5981828289038,48","7001429328770,12",27481439970000,02-AGO-21
2019,"3896199040414,45","4762089423553,77","21447249859798,7",31-AGO-20
2018,"2485244086892,52","3298979473437,35","14605790348987,9",06-AGO-19
2017,"1947405385713,59","2564004560855,14","10644778799189,1",06-AGO-19
2016,"1659383428221,1","2131113256017,3","8228159556536,43",06-AGO-19
2015,"1212308004194,54","1431662126696,39","5954510895692,34",06-AGO-19
2014,"944178033118,6","1134364215251,05","4579086425410,1",07-NOV-17
2013,"665876772374,7","750934912933,45","3348308488227,21",07-NOV-17
2012,"512760626122,84","561832951006,12","2637913848215,55",07-NOV-17
2011,"407334559064,59","450548236353,58","2179024103630,78",07-NOV-17
2010,"327153981259,29","329034159598,73","1661720925944,58",07-NOV-17
2009,"240485449710,37","249914092109,16","1247929268925,02",07-NOV-17
2008,"200098757659,98","192974144881,68","1149646090583,64",07-NOV-17
2007,"147464940710,26","142421084734,26","896980174071,903",07-NOV-17
2006,"112567493157,48","105892944576,18","715904271733,848",07-NOV-17
2005,"88878568201,7","86839239638,66","582538172937,275",07-NOV-17
2004,"73088992527,81","64275348874,46","485115194724,755",07-NOV-17
